fam,dad,mom,n_children,hdiff,child_gender,dad_h,mom_h,child_h,child_minus_dad,child_minus_mom
149,8.2,3.5,5,10.0,male,68.2,63.5,70.0,1.8,6.5
149,8.2,3.5,5,9.0,male,68.2,63.5,69.0,0.8,5.5
149,8.2,3.5,5,7.0,male,68.2,63.5,67.0,-1.2,3.5
149,8.2,3.5,5,5.5,male,68.2,63.5,65.5,-2.7,2.0
15,13.0,6.5,3,6.7,female,73.0,66.5,66.7,-6.3,0.2
15,13.0,6.5,3,11.0,male,73.0,66.5,71.0,-2.0,4.5
15,13.0,6.5,3,10.5,male,73.0,66.5,70.5,-2.5,4.0
150,8.0,2.5,1,8.5,male,68.0,62.5,68.5,0.5,6.0
151,8.7,2.0,2,1.7,female,68.7,62.0,61.7,-7.0,-0.3
151,8.7,2.0,2,7.7,male,68.7,62.0,67.7,-1.0,5.7
152,8.0,2.5,1,6.5,male,68.0,62.5,66.5,-1.5,4.0
153,8.0,1.0,5,3.5,female,68.0,61.0,63.5,-4.5,2.5
153,8.0,1.0,5,3.0,female,68.0,61.0,63.0,-5.0,2.0
153,8.0,1.0,5,8.5,male,68.0,61.0,68.5,0.5,7.5
153,8.0,1.0,5,8.0,male,68.0,61.0,68.0,0.0,7.0
153,8.0,1.0,5,4.0,male,68.0,61.0,64.0,-4.0,3.0
154,8.0,0.2,1,6.7,male,68.0,60.2,66.7,-1.3,6.5
155,8.0,0.0,7,1.0,female,68.0,60.0,61.0,-7.0,1.0
155,8.0,0.0,7,1.0,female,68.0,60.0,61.0,-7.0,1.0
155,8.0,0.0,7,0.0,female,68.0,60.0,60.0,-8.0,0.0
155,8.0,0.0,7,0.0,female,68.0,60.0,60.0,-8.0,0.0
155,8.0,0.0,7,0.0,female,68.0,60.0,60.0,-8.0,0.0
155,8.0,0.0,7,-4.0,female,68.0,60.0,56.0,-12.0,-4.0
155,8.0,0.0,7,4.0,male,68.0,60.0,64.0,-4.0,4.0
156,8.0,0.0,4,0.0,female,68.0,60.0,60.0,-8.0,0.0
156,8.0,0.0,4,7.5,male,68.0,60.0,67.5,-0.5,7.5
156,8.0,0.0,4,7.0,male,68.0,60.0,67.0,-1.0,7.0
156,8.0,0.0,4,6.5,male,68.0,60.0,66.5,-1.5,6.5
157,8.5,-1.0,1,9.0,male,68.5,59.0,69.0,0.5,10.0
158,8.0,-1.0,10,5.0,female,68.0,59.0,65.0,-3.0,6.0
158,8.0,-1.0,10,5.0,female,68.0,59.0,65.0,-3.0,6.0
158,8.0,-1.0,10,2.0,female,68.0,59.0,62.0,-6.0,3.0
158,8.0,-1.0,10,0.0,female,68.0,59.0,60.0,-8.0,1.0
158,8.0,-1.0,10,1.0,female,68.0,59.0,61.0,-7.0,2.0
158,8.0,-1.0,10,8.0,male,68.0,59.0,68.0,0.0,9.0
158,8.0,-1.0,10,5.0,male,68.0,59.0,65.0,-3.0,6.0
158,8.0,-1.0,10,4.7,male,68.0,59.0,64.7,-3.3,5.7
158,8.0,-1.0,10,4.0,male,68.0,59.0,64.0,-4.0,5.0
158,8.0,-1.0,10,4.0,male,68.0,59.0,64.0,-4.0,5.0
158,8.0,-1.0,10,3.0,male,68.0,59.0,63.0,-5.0,4.0
159,7.0,6.2,5,15.0,female,67.0,66.2,75.0,8.0,8.8
159,7.0,6.2,5,12.0,female,67.0,66.2,72.0,5.0,5.8
159,7.0,6.2,5,12.0,female,67.0,66.2,72.0,5.0,5.8
159,7.0,6.2,5,5.5,female,67.0,66.2,65.5,-1.5,-0.7
159,7.0,6.2,5,3.5,female,67.0,66.2,63.5,-3.5,-2.7
159,7.0,6.2,5,12.7,male,67.0,66.2,72.7,5.7,6.5
159,7.0,6.2,5,12.7,male,67.0,66.2,72.7,5.7,6.5
159,7.0,6.2,5,11.5,male,67.0,66.2,71.5,4.5,5.3
16,13.0,5.0,9,8.7,female,73.0,65.0,68.7,-4.3,3.7
16,13.0,5.0,9,6.5,female,73.0,65.0,66.5,-6.5,1.5
16,13.0,5.0,9,4.5,female,73.0,65.0,64.5,-8.5,-0.5
16,13.0,5.0,9,3.5,female,73.0,65.0,63.5,-9.5,-1.5
16,13.0,5.0,9,12.0,male,73.0,65.0,72.0,-1.0,7.0
16,13.0,5.0,9,10.5,male,73.0,65.0,70.5,-2.5,5.5
16,13.0,5.0,9,10.2,male,73.0,65.0,70.2,-2.8,5.2
16,13.0,5.0,9,10.2,male,73.0,65.0,70.2,-2.8,5.2
16,13.0,5.0,9,9.2,male,73.0,65.0,69.2,-3.8,4.2
160,7.0,6.5,1,11.0,male,67.0,66.5,71.0,4.0,4.5
161,7.0,6.0,8,8.0,female,67.0,66.0,68.0,1.0,2.0
161,7.0,6.0,8,5.5,female,67.0,66.0,65.5,-1.5,-0.5
161,7.0,6.0,8,2.0,female,67.0,66.0,62.0,-5.0,-4.0
161,7.0,6.0,8,13.0,male,67.0,66.0,73.0,6.0,7.0
161,7.0,6.0,8,11.0,male,67.0,66.0,71.0,4.0,5.0
161,7.0,6.0,8,10.5,male,67.0,66.0,70.5,3.5,4.5
161,7.0,6.0,8,10.0,male,67.0,66.0,70.0,3.0,4.0
161,7.0,6.0,8,9.0,male,67.0,66.0,69.0,2.0,3.0
162,7.0,5.0,6,5.5,female,67.0,65.0,65.5,-1.5,0.5
162,7.0,5.0,6,5.0,female,67.0,65.0,65.0,-2.0,0.0
162,7.0,5.0,6,4.5,female,67.0,65.0,64.5,-2.5,-0.5
162,7.0,5.0,6,3.5,female,67.0,65.0,63.5,-3.5,-1.5
162,7.0,5.0,6,9.7,male,67.0,65.0,69.7,2.7,4.7
162,7.0,5.0,6,7.5,male,67.0,65.0,67.5,0.5,2.5
163,7.0,5.5,5,5.5,female,67.0,65.5,65.5,-1.5,0.0
163,7.0,5.5,5,5.5,female,67.0,65.5,65.5,-1.5,0.0
163,7.0,5.5,5,3.0,female,67.0,65.5,63.0,-4.0,-2.5
163,7.0,5.5,5,10.0,male,67.0,65.5,70.0,3.0,4.5
