fam,dad,mom,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,d1,d2,d3,d4,d5,d6,d7,d8,d9,n_children
136A,8.5,5,12,10.5,8.7,8.5,7.7,*,*,*,*,*,4,3.5,3,*,*,*,*,*,*,8
136,8,4,11,8,8,7,*,*,*,*,*,*,5,4,3,3,2,1,*,*,*,10
137,8,4,6,3,*,*,*,*,*,*,*,*,5.5,2,*,*,*,*,*,*,*,4
138,8,4,11.2,11.2,9,8.5,*,*,*,*,*,*,2.5,*,*,*,*,*,*,*,*,5
139,8,4.5,*,*,*,*,*,*,*,*,*,*,2,*,*,*,*,*,*,*,*,1
140,8,4,9,7,6,*,*,*,*,*,*,*,6,6,5,5,5,4,3,*,*,10
141,8,3,10.5,10,8,6,6,*,*,*,*,*,6,2,1.5,*,*,*,*,*,*,8
142,8.5,3.5,13.5,10,9.5,*,*,*,*,*,*,*,5.5,*,*,*,*,*,*,*,*,4
143,8,3,7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
144,8,3,10,8,deformed,*,*,*,*,*,*,*,4.5,4,*,*,*,*,*,*,*,4
145,8,3,11,8,6,5.5,5,*,*,*,*,*,3,2,2,*,*,*,*,*,*,8
146,8,3,7,7,6,*,*,*,*,*,*,*,4,3.5,1,*,*,*,*,*,*,6
147,8.5,3.5,8.2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
148,8,3,10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
149,8.2,3.5,10,9,7,5.5,*,*,*,*,*,*,4.5,*,*,*,*,*,*,*,*,5
150,8,2.5,8.5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
151,8.7,2,7.7,*,*,*,*,*,*,*,*,*,1.7,*,*,*,*,*,*,*,*,2
152,8,2.5,6.5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
153,8,1,8.5,8,4,*,*,*,*,*,*,*,3.5,3,*,*,*,*,*,*,*,5
154,8,0.2,6.7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
155,8,0,4,*,*,*,*,*,*,*,*,*,1,1,0,0,0,-4,*,*,*,7
156,8,0,7.5,7,6.5,*,*,*,*,*,*,*,0,*,*,*,*,*,*,*,*,4
157,8.5,-1,9,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
158,8,-1,8,5,4.7,4,4,3,*,*,*,*,5,5,2,short,1,*,*,*,*,10
159,7,6.2,12.7,12.7,11.5,*,*,*,*,*,*,*,v.tall,tall,tall,5.5,3.5,*,*,*,*,5
160,7,6.5,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
161,7,6,13,11,10.5,10,9,*,*,*,*,*,8,5.5,2,*,*,*,*,*,*,8
162,7,5,9.7,7.5,*,*,*,*,*,*,*,*,5.5,5,4.5,3.5,*,*,*,*,*,6
163,7,5.5,10,9,*,*,*,*,*,*,*,*,5.5,5.5,3,*,*,*,*,*,*,5
164,7,5.5,10,7.7,*,*,*,*,*,*,*,*,3,0,*,*,*,*,*,*,*,4
165,7,5,5,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,3
166,7.5,5,11,9,*,*,*,*,*,*,*,*,4,4,3,3,3,3,3,2.5,2,11
167,7,4,11.5,10,7,7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4
168,7,3.5,11,10.2,9.2,8.5,8,7,5.5,*,*,*,3.5,*,*,*,*,*,*,*,*,8
169,7,3,9,8,*,*,*,*,*,*,*,*,3,*,*,*,*,*,*,*,*,3
170,7.5,2,10,9.5,9,8.5,*,*,*,*,*,*,6,*,*,*,*,*,*,*,*,5
171,7,1,7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
172,6,7,10.5,10.5,7,6,6,*,*,*,*,*,2,2,1.5,*,*,*,*,*,*,8
173,6,7,12,5,5,short,*,*,*,*,*,*,7,4,4,2,0,0,*,*,*,9
174,6,6,6,5,*,*,*,*,*,*,*,*,7,6.5,5.5,*,*,*,*,*,*,5
175,6,6,12,8,*,*,*,*,*,*,*,*,6,5,2,1,*,*,*,*,*,6
176,6.5,5,8.7,8.5,medium,6.5,4.5,*,*,*,*,*,2.5,0.5,0.5,-2.5,idiotic,*,*,*,*,8
177,6,5.5,12,11,7,*,*,*,*,*,*,*,6,tall,tall,5,*,*,*,*,*,5
178,6,3,10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
179,6,3.5,*,*,*,*,*,*,*,*,*,*,4.5,2,*,*,*,*,*,*,*,2
180,6.5,3,7.2,7,5,*,*,*,*,*,*,*,5,5,3,*,*,*,*,*,*,6
181,6.5,2.5,10,8,*,*,*,*,*,*,*,*,3.5,2.5,2.5,2.5,2.5,*,*,*,*,7
182,6,1.5,10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
183,6,0,8,7,5,*,*,*,*,*,*,*,0,*,*,*,*,*,*,*,*,4
184,6,0,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
185,6,-1,8,7,6.5,6,5.7,5.5,5,*,*,*,5,4,3,2,1,0,-2,-3,*,15
186,5,7,6.5,6,6,*,*,*,*,*,*,*,5,*,*,*,*,*,*,*,*,4
187,5,7,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,*,*,*,*,1
188,5,6,3,*,*,*,*,*,*,*,*,*,3,3,0,*,*,*,*,*,*,4
189,5,6,7,middle,6,5,*,*,*,*,*,*,5,middle,1,*,*,*,*,*,*,5
190,5,5,9,8,8,*,*,*,*,*,*,*,5,5,2,2,1,-1,*,*,*,9
191,5,5.5,10.7,*,*,*,*,*,*,*,*,*,5.5,*,*,*,*,*,*,*,*,2
192,5,5,9.2,9,8,7.7,*,*,*,*,*,*,4.5,0.5,*,*,*,*,*,*,*,6
193,5,4,7,7,*,*,*,*,*,*,*,*,4,4,2.5,0.5,*,*,*,*,*,6
194,5,3,10,*,*,*,*,*,*,*,*,*,3,*,*,*,*,*,*,*,*,2
195,5,3,6,6,*,*,*,*,*,*,*,*,3,*,*,*,*,*,*,*,*,3
196,5.5,3,11,11,9,*,*,*,*,*,*,*,3.5,*,*,*,*,*,*,*,*,4
197,5.5,0,8,8,7,7,*,*,*,*,*,*,2,*,*,*,*,*,*,*,*,5
198,4,4,11.5,8,*,*,*,*,*,*,*,*,5.5,4,2,2,1,*,*,*,*,7
199,4,4,10.5,8,*,*,*,*,*,*,*,*,7,5,4,4,0,*,*,*,*,7
200,4,3,4.5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
201,4,0,6,*,*,*,*,*,*,*,*,*,0,*,*,*,*,*,*,*,*,2
202,3,3.5,*,*,*,*,*,*,*,*,*,8.5,3,*,*,*,*,*,*,*,*,2
203,2,6,4,*,*,*,*,*,*,*,*,*,2,1,*,*,*,*,*,*,*,3
204,2.5,3,6.5,*,*,*,*,*,*,*,*,*,-3,*,*,*,*,*,*,*,*,2
