id,name,stage,galar_dex,exp_group,hatch_cycles,height,weight,color,description,hp,atk,def,spa,spd,spe,ev_hp,ev_atk,ev_def,ev_spa,ev_spd,ev_spe,ability1,ability2,ability3,type1,type2,item1_name,item1_chance,item2_name,item2_chance,item3_name,item3_chance,egg_group1,egg_group2,n_levelup_moves,n_egg_moves,n_tms,n_trs,n_evolutions
25,Pikachu,2,194,MediumFast,10,0.4,6.0,Yellow,"When Pikachu meet, they’ll touch their tails together and exchange electricity through them as a form of greeting.",35,55,40,50,50,90,0,0,0,0,0,2,Static,Static,Lightning Rod,Electric,,None,50.0,Light Ball,5.0,None,1.0,Field,Fairy,20,0,25,17,1
893,Pikachu 1,2,194,MediumFast,10,0.4,6.0,Yellow,,35,55,40,50,50,90,0,0,0,0,0,2,Static,Static,Lightning Rod,Electric,,None,50.0,Light Ball,5.0,None,1.0,Undiscovered,,20,0,25,17,0
894,Pikachu 2,2,194,MediumFast,10,0.4,6.0,Yellow,,35,55,40,50,50,90,0,0,0,0,0,2,Static,Static,Lightning Rod,Electric,,None,50.0,Light Ball,5.0,None,1.0,Undiscovered,,20,0,25,17,0
895,Pikachu 3,2,194,MediumFast,10,0.4,6.0,Yellow,,35,55,40,50,50,90,0,0,0,0,0,2,Static,Static,Lightning Rod,Electric,,None,50.0,Light Ball,5.0,None,1.0,Undiscovered,,20,0,25,17,0
896,Pikachu 4,2,194,MediumFast,10,0.4,6.0,Yellow,,35,55,40,50,50,90,0,0,0,0,0,2,Static,Static,Lightning Rod,Electric,,None,50.0,Light Ball,5.0,None,1.0,Undiscovered,,20,0,25,17,0
897,Pikachu 5,2,194,MediumFast,10,0.4,6.0,Yellow,,35,55,40,50,50,90,0,0,0,0,0,2,Static,Static,Lightning Rod,Electric,,None,50.0,Light Ball,5.0,None,1.0,Undiscovered,,20,0,25,17,0
898,Pikachu 6,2,194,MediumFast,10,0.4,6.0,Yellow,,35,55,40,50,50,90,0,0,0,0,0,2,Static,Static,Lightning Rod,Electric,,None,50.0,Light Ball,5.0,None,1.0,Undiscovered,,20,0,25,17,0
899,Pikachu 7,2,194,MediumFast,10,0.4,6.0,Yellow,,35,55,40,50,50,90,0,0,0,0,0,2,Static,Static,Lightning Rod,Electric,,None,50.0,Light Ball,5.0,None,1.0,Undiscovered,,20,0,25,17,0
26,Raichu,3,195,MediumFast,10,0.8,30.0,Yellow,"If its electric pouches run empty, it raises its tail to gather electricity from the atmosphere.",60,90,55,90,80,110,0,0,0,0,0,3,Static,Static,Lightning Rod,Electric,,,,,,,,Field,Fairy,22,0,31,18,0
900,Raichu 1,3,195,MediumFast,10,0.7,21.0,Brown,,60,85,50,95,85,110,0,0,0,0,0,3,Surge Surfer,Surge Surfer,Surge Surfer,Electric,Psychic,,,,,,,Field,Fairy,22,0,30,24,0
35,Clefairy,2,255,Fast,10,0.6,7.5,Pink,"Its adorable behavior and cry make it highly popular. However, this cute Pokémon is rarely found.",70,45,48,60,65,35,2,0,0,0,0,0,Cute Charm,Magic Guard,Friend Guard,Fairy,,None,50.0,Moon Stone,5.0,None,1.0,Fairy,,22,0,34,32,1
36,Clefable,3,256,Fast,10,1.3,40.0,Pink,"Their ears are sensitive enough to hear a pin drop from over a mile away, so they’re usually found in quiet places.",95,70,73,95,90,60,3,0,0,0,0,0,Cute Charm,Magic Guard,Unaware,Fairy,,None,50.0,Moon Stone,5.0,None,1.0,Fairy,,22,0,36,33,0
37,Vulpix,1,68,MediumFast,20,0.6,9.9,Brown,"As each tail grows, its fur becomes more lustrous. When held, it feels slightly warm.",38,41,40,50,65,65,0,0,0,0,0,1,Flash Fire,Flash Fire,Drought,Fire,,None,50.0,Charcoal,5.0,None,1.0,Field,,16,7,19,16,1
903,Vulpix 1,1,68,MediumFast,20,0.6,9.9,White,Evolves into Ninetales-1 @ 0 (UseItem) [849],38,41,40,50,65,65,0,0,0,0,0,1,Snow Cloak,Snow Cloak,Snow Warning,Ice,,None,50.0,Snowball,5.0,None,1.0,Field,,16,7,20,12,1
38,Ninetales,2,69,MediumFast,20,1.1,19.9,Yellow,"Very smart and very vengeful. Grabbing one of its many tails could result in a 1,000-year curse.",73,76,75,81,100,100,0,0,0,0,1,1,Flash Fire,Flash Fire,Drought,Fire,,None,50.0,Charcoal,5.0,None,1.0,Field,,18,0,23,21,0
904,Ninetales 1,2,69,MediumFast,20,1.1,19.9,Blue,,73,67,75,81,100,109,0,0,0,0,0,2,Snow Cloak,Snow Cloak,Snow Warning,Ice,Fairy,None,50.0,Snowball,5.0,None,1.0,Field,,19,0,27,17,0
43,Oddish,1,55,MediumSlow,20,0.5,5.4,Blue,"During the day, it stays in the cold underground to avoid the sun. It grows by bathing in moonlight.",45,50,55,75,65,30,0,0,0,1,0,0,Chlorophyll,Chlorophyll,Run Away,Grass,Poison,None,50.0,Absorb Bulb,5.0,None,1.0,Grass,,14,10,13,9,1
44,Gloom,2,56,MediumSlow,20,0.8,8.6,Blue,What appears to be drool is actually sweet honey. It is very sticky and clings stubbornly if touched.,60,65,70,85,75,40,0,0,0,2,0,0,Chlorophyll,Chlorophyll,Stench,Grass,Poison,None,50.0,Absorb Bulb,5.0,None,1.0,Grass,,14,0,15,9,2
45,Vileplume,3,57,MediumSlow,20,1.2,18.6,Red,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up.",75,80,85,110,90,50,0,0,0,3,0,0,Chlorophyll,Chlorophyll,Effect Spore,Grass,Poison,None,50.0,Absorb Bulb,5.0,None,1.0,Grass,,17,0,18,12,0
50,Diglett,1,164,MediumFast,20,0.2,0.8,Brown,"It burrows through the ground at a shallow depth. It leaves raised earth in its wake, making it easy to spot.",10,55,25,35,45,95,0,0,0,0,0,1,Sand Veil,Arena Trap,Sand Force,Ground,,None,50.0,Soft Sand,5.0,None,1.0,Field,,13,5,18,13,1
905,Diglett 1,1,164,MediumFast,20,0.2,1.0,Brown,Evolves into Dugtrio-1 @ 26 (LevelUp) [0],10,55,30,35,45,90,0,0,0,0,0,1,Sand Veil,Tangling Hair,Sand Force,Ground,Steel,None,50.0,Soft Sand,5.0,None,1.0,Field,,13,7,18,15,1
51,Dugtrio,2,165,MediumFast,20,0.7,33.3,Brown,These Diglett triplets dig over 60 miles below sea level. No one knows what it’s like underground.,35,100,50,50,70,120,0,0,0,0,0,2,Sand Veil,Arena Trap,Sand Force,Ground,,None,50.0,Soft Sand,5.0,None,1.0,Field,,17,0,21,17,0
906,Dugtrio 1,2,165,MediumFast,20,0.7,66.6,Brown,,35,100,60,50,70,110,0,2,0,0,0,0,Sand Veil,Tangling Hair,Sand Force,Ground,Steel,None,50.0,Soft Sand,5.0,None,1.0,Field,,17,0,21,19,0
52,Meowth,1,182,MediumFast,20,0.4,4.2,Yellow,It washes its face regularly to keep the coin on its forehead spotless. It doesn’t get along with Galarian Meowth.,40,45,35,40,40,90,0,0,0,0,0,1,Pickup,Technician,Unnerve,Normal,,None,50.0,Quick Claw,5.0,None,1.0,Field,,13,6,20,20,1
907,Meowth 1,1,182,MediumFast,20,0.4,4.2,Blue,Evolves into Persian-1 @ 0 (LevelUpFriendship) [0],40,35,35,50,40,90,0,0,0,0,0,1,Pickup,Technician,Rattled,Dark,,None,50.0,Quick Claw,5.0,None,1.0,Field,,13,6,20,20,1
908,Meowth 2,1,182,MediumFast,20,0.4,7.5,Brown,Evolves into Perrserker-0 @ 28 (LevelUp) [0],50,65,55,40,40,40,0,1,0,0,0,0,Pickup,Tough Claws,Unnerve,Steel,,,,,,,,Field,,13,6,17,25,1
53,Persian,2,184,MediumFast,20,1.0,32.0,Yellow,Its elegant and refined behavior clashes with that of the barbaric Perrserker. The relationship between the two is one of mutual disdain.,65,70,60,65,65,115,0,0,0,0,0,2,Limber,Technician,Unnerve,Normal,,None,50.0,Quick Claw,5.0,None,1.0,Field,,16,0,22,21,0
909,Persian 1,2,184,MediumFast,20,1.1,33.0,Blue,,65,60,60,75,65,115,0,0,0,0,0,2,Fur Coat,Technician,Rattled,Dark,,None,50.0,Quick Claw,5.0,None,1.0,Field,,17,0,25,21,0
58,Growlithe,1,70,Slow,20,0.7,19.0,Brown,"Extremely loyal, it will fearlessly bark at any opponent to protect its own Trainer from harm.",55,70,45,70,50,60,0,1,0,0,0,0,Intimidate,Flash Fire,Justified,Fire,,,,,,,,Field,,16,5,17,18,1
59,Arcanine,2,71,Slow,20,1.9,155.0,Brown,A Pokémon that has long been admired for its beauty. It runs agilely as if on wings.,90,110,80,100,80,95,0,2,0,0,0,0,Intimidate,Flash Fire,Justified,Fire,,,,,,,,Field,,19,0,23,21,0
66,Machop,1,138,MediumSlow,20,0.8,19.5,Gray,"Always brimming with power, it passes time by lifting boulders. Doing so makes it even stronger.",70,80,50,35,35,35,0,1,0,0,0,0,Guts,No Guard,Steadfast,Fighting,,None,50.0,Focus Band,5.0,None,1.0,HumanLike,,15,5,27,19,1
67,Machoke,2,139,MediumSlow,20,1.5,70.5,Gray,Its formidable body never gets tired. It helps people by doing work such as the moving of heavy goods.,80,100,70,50,60,45,0,2,0,0,0,0,Guts,No Guard,Steadfast,Fighting,,None,50.0,Focus Band,5.0,None,1.0,HumanLike,,15,0,28,19,1
68,Machamp,3,140,MediumSlow,20,1.6,130.0,Gray,"With four arms that react more quickly than it can think, it can execute many punches at once.",90,130,80,65,85,55,0,3,0,0,0,0,Guts,No Guard,Steadfast,Fighting,,None,50.0,Focus Band,5.0,None,1.0,HumanLike,,16,0,33,23,0
77,Ponyta,1,333,MediumFast,20,1.0,30.0,Yellow,"If you’ve been accepted by Ponyta, its burning mane is mysteriously no longer hot to the touch.",50,85,55,65,65,90,0,0,0,0,0,1,Run Away,Flash Fire,Flame Body,Fire,,,,,,,,Field,,13,6,15,16,1
913,Ponyta 1,1,333,MediumFast,20,0.8,24.0,White,Evolves into Rapidash-1 @ 40 (LevelUp) [0],50,85,55,65,65,90,0,0,0,0,0,1,Run Away,Pastel Veil,Anticipation,Psychic,,,,,,,,Field,,13,6,11,17,1
78,Rapidash,2,334,MediumFast,20,1.7,95.0,Yellow,"The fastest runner becomes the leader, and it decides the herd’s pace and direction of travel.",65,100,70,80,80,105,0,0,0,0,0,2,Run Away,Flash Fire,Flame Body,Fire,,,,,,,,Field,,18,0,19,22,0
914,Rapidash 1,2,334,MediumFast,20,1.7,80.0,White,,65,100,70,80,80,105,0,0,0,0,0,2,Run Away,Pastel Veil,Anticipation,Psychic,Fairy,,,,,,,Field,,17,0,21,22,0
83,Farfetch’d,2,218,MediumFast,20,0.8,15.0,Brown,"They use a plant stalk as a weapon, but not all of them use it in the same way. Several distinct styles of stalk fighting have been observed.",52,90,55,58,62,60,0,1,0,0,0,0,Keen Eye,Inner Focus,Defiant,Normal,Flying,None,50.0,Leek,5.0,None,1.0,Flying,Field,15,13,20,17,0
915,Farfetch’d 1,2,218,MediumFast,20,0.8,42.0,Brown,Evolves into Sirfetch’d-0 @ 0 (U43) [3],52,95,55,58,62,55,0,1,0,0,0,0,Steadfast,Steadfast,Scrappy,Fighting,,Leek,50.0,None,5.0,None,1.0,Flying,Field,15,11,15,13,1
90,Shellder,1,150,Slow,20,0.3,4.0,Purple,Its hard shell repels any kind of attack. It is vulnerable only when its shell is open.,30,65,100,45,25,40,0,0,1,0,0,0,Shell Armor,Skill Link,Overcoat,Water,,Pearl,50.0,Big Pearl,5.0,None,1.0,Water3,,14,4,21,10,1
91,Cloyster,2,151,Slow,20,1.5,132.5,Purple,"Once it slams its shell shut, it is impossible to open, even by those with superior strength.",50,95,180,85,45,70,0,0,2,0,0,0,Shell Armor,Skill Link,Overcoat,Water,Ice,Pearl,50.0,Big Pearl,5.0,None,1.0,Water3,,19,0,27,13,0
92,Gastly,1,141,MediumSlow,20,1.3,0.1,Purple,"With its gas-like body, it can sneak into any place it desires. However, it can be blown away by wind.",30,35,30,100,35,80,0,0,0,1,0,0,Levitate,Levitate,Levitate,Ghost,Poison,,,,,,,Amorphous,,14,9,22,18,1
93,Haunter,2,142,MediumSlow,20,1.6,0.1,Purple,"If you get the feeling of being watched in darkness when nobody is around, Haunter is there.",45,50,45,115,55,95,0,0,0,2,0,0,Levitate,Levitate,Levitate,Ghost,Poison,,,,,,,Amorphous,,16,0,24,19,1
94,Gengar,3,143,MediumSlow,20,1.5,40.5,Purple,It is said to emerge from darkness to steal the lives of those who become lost in mountains.,60,65,60,130,75,110,0,0,0,3,0,0,Cursed Body,Cursed Body,Cursed Body,Ghost,Poison,,,,,,,Amorphous,,17,0,32,24,0
95,Onix,1,178,MediumFast,25,8.8,210.0,Gray,"It rapidly bores through the ground at 50 mph by squirming and twisting its massive, rugged body.",35,45,160,30,45,70,0,0,1,0,0,0,Rock Head,Sturdy,Weak Armor,Rock,Ground,,,,,,,Mineral,,18,7,21,19,1
98,Krabby,1,98,MediumFast,20,0.4,6.5,Red,"If it senses danger approaching, it cloaks itself with bubbles from its mouth so it will look bigger.",30,105,90,25,25,50,0,1,0,0,0,0,Hyper Cutter,Shell Armor,Sheer Force,Water,,,,,,,,Water3,,14,5,21,16,1
99,Kingler,2,99,MediumFast,20,1.3,60.0,Red,"Its oversized claw is very powerful, but when it’s not in battle, the claw just gets in the way.",55,130,115,50,50,75,0,2,0,0,0,0,Hyper Cutter,Shell Armor,Sheer Force,Water,,,,,,,,Water3,,16,0,25,18,0
106,Hitmonlee,2,108,MediumFast,25,1.5,49.8,Brown,The legs freely contract and stretch. The stretchy legs allow it to hit a distant foe with a rising kick.,50,120,53,35,110,87,0,2,0,0,0,0,Limber,Reckless,Unburden,Fighting,,,,,,,,HumanLike,,19,0,23,20,0
107,Hitmonchan,2,109,MediumFast,25,1.4,50.2,Brown,"Its punches slice the air. However, it seems to need a short break after fighting for three minutes.",50,105,79,35,110,76,0,0,0,0,2,0,Keen Eye,Iron Fist,Inner Focus,Fighting,,,,,,,,HumanLike,,22,0,25,17,0
109,Koffing,1,250,MediumFast,20,0.6,1.0,Purple,It adores polluted air. Some claim that Koffing used to be more plentiful in the Galar region than they are now.,40,65,95,60,45,35,0,0,1,0,0,0,Levitate,Neutralizing Gas,Stench,Poison,,None,50.0,Smoke Ball,5.0,None,1.0,Amorphous,,15,8,15,16,1
110,Weezing,2,251,MediumFast,20,1.2,9.5,Purple,"It can’t suck in air quite as well as a Galarian Weezing, but the toxins it creates are more potent than those of its counterpart.",65,90,120,85,70,60,0,0,2,0,0,0,Levitate,Neutralizing Gas,Stench,Poison,,None,50.0,Smoke Ball,5.0,None,1.0,Amorphous,,18,0,17,17,0
920,Weezing 1,2,251,MediumFast,20,3.0,16.0,Gray,,65,90,120,85,70,60,0,0,2,0,0,0,Levitate,Neutralizing Gas,Misty Surge,Poison,Fairy,None,50.0,Misty Seed,5.0,None,1.0,Amorphous,,24,0,20,20,0
111,Rhyhorn,1,264,Slow,20,1.0,115.0,Gray,"It can remember only one thing at a time. Once it starts rushing, it forgets why it started.",80,85,95,30,30,25,0,0,1,0,0,0,Lightning Rod,Rock Head,Reckless,Ground,Rock,,,,,,,Monster,Field,14,7,24,25,1
112,Rhydon,2,265,Slow,20,1.9,120.0,Gray,"Protected by an armor-like hide, it is capable of living in molten lava of 3,600 degrees Fahrenheit.",105,130,120,45,45,40,0,2,0,0,0,0,Lightning Rod,Rock Head,Reckless,Ground,Rock,,,,,,,Monster,Field,16,0,40,33,1
118,Goldeen,1,146,MediumFast,20,0.6,15.0,Red,Its dorsal and pectoral fins are strongly developed like muscles. It can swim at a speed of five knots.,45,67,60,35,50,63,0,1,0,0,0,0,Swift Swim,Water Veil,Lightning Rod,Water,,None,50.0,Mystic Water,5.0,None,1.0,Water2,,12,5,15,17,1
119,Seaking,2,147,MediumFast,20,1.3,39.0,Red,"Using its horn, it bores holes in riverbed boulders, making nests to prevent its eggs from washing away.",80,92,65,65,80,68,0,2,0,0,0,0,Swift Swim,Water Veil,Lightning Rod,Water,,None,50.0,Mystic Water,5.0,None,1.0,Water2,,12,0,17,17,0
122,Mr. Mime,2,365,MediumFast,25,1.3,54.5,Pink,It’s known for its top-notch pantomime skills. It protects itself from all sorts of attacks by emitting auras from its fingers to create walls.,40,45,65,100,120,90,0,0,0,0,2,0,Soundproof,Filter,Technician,Psychic,Fairy,,,,,,,HumanLike,,21,5,37,28,0
921,Mr. Mime 1,2,365,MediumFast,25,1.4,56.8,White,Evolves into Mr. Rime-0 @ 42 (LevelUp) [0],50,65,65,90,90,100,0,0,0,0,0,2,Vital Spirit,Screen Cleaner,Ice Body,Ice,Psychic,,,,,,,HumanLike,,26,4,38,30,1
129,Magikarp,1,144,Slow,5,0.9,10.0,Red,This weak and pathetic Pokémon gets easily pushed along rivers when there are strong currents.,20,10,55,15,20,80,0,0,0,0,0,1,Swift Swim,Swift Swim,Rattled,Water,,,,,,,,Water2,Dragon,3,0,1,1,1
130,Gyarados,2,145,Slow,5,6.5,235.0,Blue,"Once it begins to rampage, a Gyarados will burn everything down, even in a harsh storm.",95,125,79,60,100,81,0,2,0,0,0,0,Intimidate,Intimidate,Moxie,Water,Flying,,,,,,,Water2,Dragon,20,0,23,28,0
131,Lapras,2,361,Slow,40,2.5,220.0,Blue,Crossing icy seas is no issue for this cold-resistant Pokémon. Its smooth skin is a little cool to the touch.,130,85,80,85,95,60,2,0,0,0,0,0,Water Absorb,Shell Armor,Hydration,Water,Ice,Mystic Water,50.0,Mystic Water,5.0,None,1.0,Monster,Water1,15,7,21,24,0
132,Ditto,2,373,MediumFast,20,0.3,4.0,Purple,"When it encounters another Ditto, it will move faster than normal to duplicate that opponent exactly.",48,48,48,48,48,48,1,0,0,0,0,0,Limber,Limber,Imposter,Normal,,Quick Powder,50.0,Metal Powder,5.0,None,1.0,Ditto,,1,0,0,0,0
133,Eevee,1,196,MediumFast,35,0.3,6.5,Brown,"Thanks to its unstable genetic makeup, this special Pokémon conceals many different possible evolutions.",55,55,50,45,65,55,0,0,0,0,1,0,Run Away,Adaptability,Anticipation,Normal,,,,,,,,Field,,16,8,16,11,8
134,Vaporeon,2,197,MediumFast,35,1.0,29.0,Blue,Its body’s cellular structure is similar to the molecular composition of water. It can melt invisibly in water.,130,65,60,110,95,65,2,0,0,0,0,0,Water Absorb,Water Absorb,Hydration,Water,,,,,,,,Field,,25,0,23,19,0
135,Jolteon,2,198,MediumFast,35,0.8,24.5,Yellow,"It accumulates negative ions in the atmosphere to blast out 10,000-volt lightning bolts.",65,65,60,110,95,130,0,0,0,0,0,2,Volt Absorb,Volt Absorb,Quick Feet,Electric,,,,,,,,Field,,25,0,23,16,0
136,Flareon,2,199,MediumFast,35,0.9,25.0,Red,"It stores some of the air it inhales in its internal flame pouch, which heats it to over 3,000 degrees Fahrenheit.",65,130,60,95,110,65,0,2,0,0,0,0,Flash Fire,Flash Fire,Guts,Fire,,,,,,,,Field,,24,0,23,17,0
143,Snorlax,2,261,Slow,40,2.1,460.0,Black,"This Pokémon’s stomach is so strong, even eating moldy or rotten food will not affect it.",160,110,65,65,110,30,2,0,0,0,0,0,Immunity,Thick Fat,Gluttony,Normal,,Leftovers,50.0,Leftovers,5.0,None,1.0,Monster,,27,5,30,35,0
150,Mewtwo,3,foreign,Slow,120,2.0,122.0,Purple,The research efforts of a certain scientist ultimately resulted in this Pokémon. Its powers are dedicated to battling.,106,110,90,154,90,130,0,0,0,3,0,0,Pressure,Pressure,Unnerve,Psychic,,,,,,,,Undiscovered,,17,0,44,39,0
151,Mew,3,foreign,MediumSlow,120,0.4,4.0,Pink,"This mythical Pokémon is said to be extinct, but sightings of it are still being reported to this day.",100,100,100,100,100,100,3,0,0,0,0,0,Synchronize,Synchronize,Synchronize,Psychic,,Lum Berry,50.0,Lum Berry,5.0,None,1.0,Undiscovered,,12,0,100,100,0
163,Hoothoot,1,19,MediumFast,15,0.7,21.2,Brown,It begins to hoot at the same time every day. Some Trainers use them in place of clocks.,60,30,30,36,56,50,1,0,0,0,0,0,Insomnia,Keen Eye,Tinted Lens,Normal,Flying,,,,,,,Flying,,15,6,16,16,1
164,Noctowl,2,20,MediumFast,15,1.6,40.8,Brown,"When it needs to think, it rotates its head 180 degrees to sharpen its intellectual power.",100,50,50,86,96,70,2,0,0,0,0,0,Insomnia,Keen Eye,Tinted Lens,Normal,Flying,,,,,,,Flying,,16,0,18,17,0
170,Chinchou,1,220,Slow,20,0.5,12.0,Blue,"On the dark ocean floor, its only means of communication is its constantly flashing lights.",75,38,38,56,56,67,1,0,0,0,0,0,Volt Absorb,Illuminate,Water Absorb,Water,Electric,,,,,,,Water2,,13,4,16,16,1
171,Lanturn,2,221,Slow,20,1.2,22.5,Blue,This Pokémon flashes a bright light that blinds its prey. This creates an opening for it to deliver an electrical attack.,125,58,58,76,76,67,2,0,0,0,0,0,Volt Absorb,Illuminate,Water Absorb,Water,Electric,,,,,,,Water2,,20,0,19,16,0
172,Pichu,1,193,MediumFast,10,0.3,2.0,Yellow,"The electric sacs in its cheeks are small. If even a little electricity leaks, it becomes shocked.",20,40,15,35,35,60,0,0,0,0,0,1,Static,Static,Lightning Rod,Electric,,,,,,,,Undiscovered,,7,7,20,15,1
173,Cleffa,1,254,Fast,10,0.3,3.0,Pink,"Because of its unusual, starlike silhouette, people believe that it came here on a meteor.",50,25,28,45,55,15,0,0,0,0,1,0,Cute Charm,Magic Guard,Friend Guard,Fairy,,None,50.0,Moon Stone,5.0,None,1.0,Undiscovered,,8,5,25,21,1
175,Togepi,1,257,Fast,10,0.3,1.5,White,It is considered to be a symbol of good luck. Its shell is said to be filled with happiness.,35,20,65,40,65,20,0,0,0,0,1,0,Hustle,Serene Grace,Super Luck,Fairy,,,,,,,,Undiscovered,,15,6,21,24,1
176,Togetic,2,258,Fast,10,0.6,3.2,White,It grows dispirited if it is not with kind people. It can float in midair without moving its wings.,55,40,85,80,105,40,0,0,0,0,2,0,Hustle,Serene Grace,Super Luck,Fairy,Flying,,,,,,,Flying,Fairy,17,0,31,25,1
177,Natu,1,92,MediumFast,20,0.2,2.0,Green,"Because its wings aren’t yet fully grown, it has to hop to get around. It is always staring at something.",40,50,45,70,45,70,0,0,0,1,0,0,Synchronize,Early Bird,Magic Bounce,Psychic,Flying,,,,,,,Flying,,12,6,23,18,1
178,Xatu,2,93,MediumFast,20,1.5,15.0,Green,This odd Pokémon can see both the past and the future. It eyes the sun’s movement all day.,65,75,70,95,70,95,0,0,0,1,0,1,Synchronize,Early Bird,Magic Bounce,Psychic,Flying,,,,,,,Flying,,15,0,26,19,0
182,Bellossom,3,58,MediumSlow,20,0.4,5.8,Green,Bellossom gather at times and appear to dance. They say that the dance is a ritual to summon the sun.,75,80,95,90,100,50,0,0,0,0,3,0,Chlorophyll,Chlorophyll,Healer,Grass,,None,50.0,Absorb Bulb,5.0,None,1.0,Grass,,17,0,20,14,0
185,Sudowoodo,2,253,MediumFast,20,1.2,38.0,Brown,"It disguises itself as a tree to avoid attack. It hates water, so it will disappear if it starts raining.",70,100,115,30,65,30,0,0,2,0,0,0,Sturdy,Rock Head,Rattled,Rock,,,,,,,,Mineral,,19,6,26,15,0
194,Wooper,1,100,MediumFast,20,0.4,8.5,Blue,"When walking on land, it covers its body with a poisonous film that keeps its skin from dehydrating.",55,45,45,25,25,15,1,0,0,0,0,0,Damp,Water Absorb,Unaware,Water,Ground,,,,,,,Water1,Field,13,11,20,18,1
195,Quagsire,2,101,MediumFast,20,1.4,75.0,Blue,Its body is always slimy. It often bangs its head on the river bottom as it swims but seems not to care.,95,85,85,65,65,35,2,0,0,0,0,0,Damp,Water Absorb,Unaware,Water,Ground,,,,,,,Water1,Field,13,0,29,22,0
196,Espeon,2,200,MediumFast,35,0.9,26.5,Purple,"It unleashes psychic power from the orb on its forehead. When its power is exhausted, the orb grows dull and dark.",65,65,60,130,95,110,0,0,0,2,0,0,Synchronize,Synchronize,Magic Bounce,Psychic,,,,,,,,Field,,24,0,23,22,0
