id,date,type,workspace_id,total_cost_in_cents,total_paid_in_credits_in_cents
inv1534582083909,2017-07-29,renewal,wks4144827035994,2400,2400
inv5929118973694,2017-07-29,renewal,wks6193567078806,2914,0
inv9301886324531,2017-07-30,initial,wks3290386733021,0,0
inv3554900202609,2017-07-30,renewal,wks8809261348991,2400,0
inv7709370354501,2017-07-30,renewal,wks4156105314380,2400,2400
inv6516280555234,2017-07-31,final,wks2625605786188,6771,0
inv2474962192159,2017-08-01,initial,wks9955143511863,0,0
inv8484759962829,2017-08-01,renewal,wks6772046058566,2400,0
inv6410761874699,2017-08-02,renewal,wks4232724639029,2400,0
inv3873293085505,2017-08-03,renewal,wks2652486515339,2400,2400
inv1450923480277,2017-08-03,renewal,wks401816862489,4200,0
inv6836700706063,2017-08-03,renewal,wks9401173858141,20142,0
inv3798106138443,2017-08-04,initial,wks1914907994591,0,0
inv2838612382217,2017-08-04,initial,wks4323265905447,0,0
inv3943404514534,2017-08-04,renewal,wks5458118618077,2400,2400
inv9571864429317,2017-08-04,renewal,wks6917009352217,4800,4800
inv884717901349,2017-08-04,renewal,wks1848816090558,3600,0
inv3071642404299,2017-08-05,initial,wks3319578885022,0,0
inv4307116780061,2017-08-05,final,wks334039089582,2400,0
inv4349920702828,2017-08-05,renewal,wks8165060387715,2400,2400
inv6399650872757,2017-08-05,renewal,wks1161153771717,14400,0
inv2453292174338,2017-08-05,renewal,wks5803418559901,2400,2400
inv8627377653741,2017-08-06,initial,wks6206004022821,0,0
inv8452060362556,2017-08-06,initial,wks9377331909072,0,0
inv58889018739,2017-08-06,initial,wks6196164807931,0,0
inv4994146927888,2017-08-06,renewal,wks2759602283706,2400,2400
inv282155404253,2017-08-06,renewal,wks9654998462572,8057,200
inv7568750885383,2017-08-06,renewal,wks8623424522904,2400,0
inv5612723984497,2017-08-06,renewal,wks5606040521847,14228,14228
inv3703144695473,2017-08-07,renewal,wks2949711765675,2400,300
inv6467881006736,2017-08-08,renewal,wks4448841104696,2400,2400
inv5511180893419,2017-08-09,initial,wks8460978433511,0,0
inv8883417317303,2017-08-09,renewal,wks4299300119492,2400,2400
inv178898320540,2017-08-09,renewal,wks6070526021647,24000,1000
inv3441793739198,2017-08-09,renewal,wks2035131763968,2400,0
inv5168702820859,2017-08-10,renewal,wks1973623517640,2400,700
inv3724614606713,2017-08-11,initial,wks5979952061964,0,0
inv5489401622343,2017-08-11,renewal,wks1988476585870,7885,0
inv5431786860446,2017-08-11,renewal,wks5530599113752,2400,0
inv3737526584195,2017-08-12,initial,wks1513591925500,0,0
inv6105974234607,2017-08-12,renewal,wks4022475127392,2828,2828
inv789603127703,2017-08-12,renewal,wks2733082150514,2400,0
inv7431866157620,2017-08-12,renewal,wks6626395347928,2400,0
inv3324492606314,2017-08-12,renewal,wks6664451520496,2400,0
inv7398556653728,2017-08-15,renewal,wks5885832878987,2400,2400
inv438200245959,2017-08-16,initial,wks9070020544512,0,0
inv1068257357648,2017-08-16,renewal,wks7700851368869,2400,500
inv6879528531682,2017-08-17,renewal,wks8740234014633,2400,1200
inv946479963759,2017-08-17,renewal,wks8504289308679,16800,200
inv7661862979495,2017-08-17,renewal,wks5139806381112,5314,0
inv7784143801773,2017-08-18,renewal,wks615354373481,2400,2400
inv5657871256088,2017-08-18,renewal,wks3522723413447,2400,2400
inv2237263498320,2017-08-18,renewal,wks1852035030455,2400,2400
inv2887737224356,2017-08-19,initial,wks3579832367027,0,0
inv4557586475478,2017-08-19,renewal,wks6177611730942,2400,2400
inv2485291173690,2017-08-19,renewal,wks959245693636,9600,0
inv2265818673308,2017-08-19,renewal,wks9537145926953,2400,0
inv3866774141502,2017-08-19,renewal,wks1940920588704,5400,0
inv5066780027881,2017-08-20,initial,wks6777713960487,0,0
inv9227251403488,2017-08-20,initial,wks6851468522272,0,0
inv2370656115729,2017-08-20,renewal,wks5530146587774,2400,2400
inv3986214357222,2017-08-20,renewal,wks1175118657062,2400,2400
inv4268194236337,2017-08-20,renewal,wks5056918404143,2400,0
inv4558619557211,2017-08-20,final,wks8207741034163,2400,1300
inv6108586638627,2017-08-20,renewal,wks6943760822268,2400,2400
inv8155137023723,2017-08-20,renewal,wks7437272324756,2400,0
inv3985230536312,2017-08-20,renewal,wks3072492501179,2400,2400
inv1209215072440,2017-08-21,initial,wks8744517985515,0,0
inv7157526439911,2017-08-21,renewal,wks7470092505034,2400,0
inv6554406190927,2017-08-22,final,wks7032884493088,11057,0
inv7863422033801,2017-08-23,initial,wks9794468580804,0,0
inv9836234697453,2017-08-23,renewal,wks2862351320106,12000,0
inv465609507592,2017-08-24,renewal,wks8824058553037,2400,2400
inv4997609394420,2017-08-24,renewal,wks6210578030795,2400,400
inv8360977304252,2017-08-24,renewal,wks4578903836200,5057,0
inv5867764205571,2017-08-24,renewal,wks801244421403,4714,2000
inv9977141849837,2017-08-24,renewal,wks1114101979001,8571,0
inv7956502814334,2017-08-25,renewal,wks996860142447,2400,2400
inv1873262045486,2017-08-25,renewal,wks7017454166066,2400,2400
inv9487340041436,2017-08-25,renewal,wks5176458298639,2400,0
inv9203872151591,2017-08-25,renewal,wks8780283383554,17057,0
inv9085271060133,2017-08-26,initial,wks7232814290454,0,0
inv7242756308043,2017-08-26,renewal,wks1065915252593,9600,1157
inv2183923507519,2017-08-26,renewal,wks4539800462904,2400,2400
inv8317267630099,2017-08-26,renewal,wks4144827035994,4457,2200
inv2255454741698,2017-08-26,renewal,wks6193567078806,7114,0
inv2448278003124,2017-08-27,initial,wks5192828553390,0,0
inv6458778558433,2017-08-27,renewal,wks3290386733021,2400,900
inv8912323728573,2017-08-27,renewal,wks8809261348991,3257,500
inv8267374765263,2017-08-27,renewal,wks4156105314380,2400,2400
inv4856611384459,2017-08-29,renewal,wks9955143511863,2400,2400
inv2907915221056,2017-08-29,renewal,wks6772046058566,2400,2400
inv9996718966018,2017-08-30,renewal,wks4232724639029,5228,0
inv4421271459267,2017-08-31,final,wks2652486515339,2400,2400
inv8487827716829,2017-08-31,renewal,wks401816862489,2400,0
inv3984005394878,2017-08-31,renewal,wks9401173858141,21600,0
inv5166080480465,2017-09-01,initial,wks4435585980502,0,0
inv1504902374719,2017-09-01,renewal,wks1914907994591,2400,2400
inv3306919858736,2017-09-01,renewal,wks4323265905447,2400,800
inv8260825770809,2017-09-01,renewal,wks5458118618077,2400,2400
inv3003771331347,2017-09-01,renewal,wks6917009352217,7200,4300
inv2099582709112,2017-09-01,renewal,wks1848816090558,4800,0
inv2448661255188,2017-09-02,initial,wks7097126031184,0,0
inv3063183960125,2017-09-02,renewal,wks3319578885022,2400,2400
inv2056535400692,2017-09-02,renewal,wks8165060387715,2400,2400
inv2895176614476,2017-09-02,renewal,wks1161153771717,14914,0
inv5391323308653,2017-09-02,renewal,wks5803418559901,2400,2400
inv140595960873,2017-09-03,renewal,wks6206004022821,2400,2400
inv5328876986946,2017-09-03,renewal,wks9377331909072,2400,2400
inv1714862217782,2017-09-03,renewal,wks6196164807931,2400,2400
inv9930361527013,2017-09-03,renewal,wks2759602283706,4457,1800
inv8806058900801,2017-09-03,renewal,wks9654998462572,16114,0
inv3388616137896,2017-09-03,renewal,wks8623424522904,4800,3700
inv6531209053326,2017-09-03,renewal,wks5606040521847,21000,7585
inv5468546603612,2017-09-04,renewal,wks2949711765675,2400,0
inv7806924087390,2017-09-05,renewal,wks4448841104696,2400,2400
inv9635329763253,2017-09-06,initial,wks688862491885,0,0
inv8112200743102,2017-09-06,initial,wks3753861933915,0,0
inv2624750795191,2017-09-06,renewal,wks8460978433511,2400,1500
inv9740449791542,2017-09-06,renewal,wks4299300119492,2400,500
inv3161599483732,2017-09-06,renewal,wks6070526021647,23485,0
inv1347806183443,2017-09-06,renewal,wks2035131763968,2400,0
inv9529659789890,2017-09-07,initial,wks2670342987846,0,0
inv4789491604592,2017-09-07,initial,wks2718927980727,0,0
inv7616183596882,2017-09-07,renewal,wks1973623517640,2400,400
inv2116377320566,2017-09-08,initial,wks5118444503112,0,0
inv551065767213,2017-09-08,final,wks5979952061964,2400,2400
inv224165560298,2017-09-08,renewal,wks1988476585870,12600,0
inv2521934966421,2017-09-08,renewal,wks5530599113752,2400,0
inv6845372899306,2017-09-09,initial,wks664602086609,0,0
inv9180364476409,2017-09-09,initial,wks1762046627253,0,0
inv6105779804678,2017-09-09,renewal,wks1513591925500,2400,2400
inv4051681590133,2017-09-09,renewal,wks4022475127392,3600,2528
inv273992718657,2017-09-09,renewal,wks2733082150514,2400,400
inv509877492845,2017-09-09,renewal,wks6626395347928,2400,0
inv9556718709484,2017-09-09,renewal,wks6664451520496,5657,0
inv3509145950465,2017-09-10,initial,wks5253385619750,0,0
inv1335573043212,2017-09-12,renewal,wks5885832878987,2400,2400
inv7382572872172,2017-09-13,renewal,wks9070020544512,2400,300
inv3842206693891,2017-09-13,renewal,wks7700851368869,2400,0
inv1190281680752,2017-09-14,final,wks8740234014633,2400,0
inv9494381267708,2017-09-14,renewal,wks8504289308679,16800,0
inv5249943760440,2017-09-14,final,wks5139806381112,9600,0
inv7255726017650,2017-09-15,renewal,wks615354373481,2400,2400
inv9948780065152,2017-09-15,renewal,wks3522723413447,2400,2400
inv3230830215239,2017-09-15,renewal,wks1852035030455,2400,300
inv5640881838557,2017-09-16,initial,wks3127535399355,0,0
inv1687946712280,2017-09-16,initial,wks7288926300134,0,0
inv7626294748358,2017-09-16,renewal,wks3579832367027,2400,2400
inv8145864978148,2017-09-16,renewal,wks6177611730942,6685,6685
inv8884182980857,2017-09-16,renewal,wks959245693636,10885,0
inv9453145430852,2017-09-16,renewal,wks9537145926953,2400,0
inv183840879822,2017-09-16,renewal,wks1940920588704,10199,0
inv1382851282302,2017-09-17,initial,wks4891373558369,0,0
inv4040285527105,2017-09-17,renewal,wks6777713960487,2400,2400
inv4304929646555,2017-09-17,renewal,wks6851468522272,2400,2400
inv685104467938,2017-09-17,renewal,wks5530146587774,2400,2400
inv3030988933523,2017-09-17,renewal,wks1175118657062,2400,2400
inv8958281957855,2017-09-17,renewal,wks5056918404143,4971,0
inv739979422506,2017-09-17,renewal,wks6943760822268,2400,400
inv4751133131935,2017-09-17,renewal,wks7437272324756,2400,0
inv9984705857640,2017-09-17,final,wks3072492501179,2400,2400
inv3145617780111,2017-09-18,renewal,wks8744517985515,2400,2400
inv3460783777146,2017-09-18,renewal,wks7470092505034,2400,0
inv2984025800832,2017-09-20,final,wks9794468580804,2400,1900
inv5948656749887,2017-09-20,renewal,wks2862351320106,9857,0
inv4061075311061,2017-09-21,initial,wks4723571155191,0,0
inv8483830289910,2017-09-21,renewal,wks8824058553037,2400,2200
inv7854707317088,2017-09-21,renewal,wks6210578030795,2400,0
inv9748314275024,2017-09-21,renewal,wks4578903836200,9685,0
inv7241024716557,2017-09-21,renewal,wks801244421403,10285,0
inv8378877151273,2017-09-21,final,wks1114101979001,9600,0
inv9222933696596,2017-09-22,renewal,wks996860142447,2400,1000
inv7614106813052,2017-09-22,renewal,wks7017454166066,8657,8657
inv8556090120360,2017-09-22,renewal,wks5176458298639,2400,0
inv5343154931863,2017-09-22,renewal,wks8780283383554,18514,0
inv1555748321574,2017-09-23,initial,wks607910613164,0,0
inv7782725742832,2017-09-23,initial,wks5302026570104,0,0
inv354957341849,2017-09-23,initial,wks735144797290,0,0
inv2600882412118,2017-09-23,initial,wks107271474676,0,0
inv7558088516365,2017-09-23,renewal,wks7232814290454,2400,2400
inv4057706572155,2017-09-23,renewal,wks1065915252593,9942,0
inv6595601542756,2017-09-23,renewal,wks4539800462904,2400,2400
inv8419140118025,2017-09-23,renewal,wks4144827035994,7800,0
inv4331099715716,2017-09-23,renewal,wks6193567078806,9342,0
inv2125022354359,2017-09-24,initial,wks6728452804607,0,0
inv9605937444418,2017-09-24,renewal,wks5192828553390,4800,900
inv8740339400755,2017-09-24,renewal,wks3290386733021,2400,0
inv4146953593361,2017-09-24,renewal,wks8809261348991,4800,0
inv5453969187798,2017-09-24,renewal,wks4156105314380,2400,2400
inv8883743753388,2017-09-25,initial,wks9412051571095,0,0
inv4957461052962,2017-09-26,renewal,wks9955143511863,2400,2400
inv4041212981361,2017-09-26,renewal,wks6772046058566,2400,2400
inv6232836750966,2017-09-27,renewal,wks4232724639029,5742,0
inv9296696932496,2017-09-28,initial,wks6924089499709,0,0
inv3539638062781,2017-09-28,renewal,wks401816862489,6171,0
inv6727041011278,2017-09-28,renewal,wks9401173858141,23742,0
inv4118951561521,2017-09-29,renewal,wks4435585980502,2400,2400
inv498524581602,2017-09-29,renewal,wks1914907994591,2400,100
inv6122266748690,2017-09-29,renewal,wks4323265905447,2400,0
inv3784637044199,2017-09-29,renewal,wks5458118618077,4800,4800
inv5502611077891,2017-09-29,renewal,wks6917009352217,13457,0
inv4268153564864,2017-09-29,renewal,wks1848816090558,4800,0
inv7533985414218,2017-09-30,initial,wks4727434969866,0,0
inv9247184646960,2017-09-30,initial,wks6620894721653,0,0
inv6560891183104,2017-09-30,renewal,wks7097126031184,2400,2400
