id,date_account_created,gender,age,signup_method,language,affiliate_channel,affiliate_provider,signup_app,first_device_type,first_browser
vzl4opbsr7,2014-07-01,FEMALE,26,basic,en,sem-brand,bing,iOS,iPhone,Mobile Safari
6ggo8gba5r,2014-07-01,-unknown-,29,basic,en,sem-brand,google,Web,Mac Desktop,Firefox
71sndzjzmd,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,iPhone,Mobile Safari
20tozj8ssr,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Safari
evucqjckmu,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
3xcp7f3m8o,2014-07-01,FEMALE,23,facebook,en,sem-brand,google,Web,Mac Desktop,Safari
xy4xv9uqmu,2014-07-01,-unknown-,,basic,zh,sem-brand,google,Web,Windows Desktop,Chrome
h7i6f2vywl,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Chrome
r8zzrtvdaw,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Chrome
so8mep5e59,2014-07-01,MALE,24,basic,en,sem-brand,google,Web,Mac Desktop,Safari
94r4tnuglp,2014-07-01,-unknown-,39,basic,en,sem-brand,google,Web,Mac Desktop,Chrome
um2hqlzeh8,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Safari
zpnebp9g7f,2014-07-01,-unknown-,36,basic,en,sem-brand,google,Web,Mac Desktop,Firefox
tx4y6yomm7,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,IE
kkbvqv9s1s,2014-07-01,FEMALE,57,basic,en,sem-brand,google,Web,Mac Desktop,Chrome
pjhodz4zc7,2014-07-01,FEMALE,23,facebook,en,sem-brand,google,Web,Mac Desktop,Safari
xrmdys5fgy,2014-07-01,FEMALE,31,facebook,en,sem-brand,google,Web,Windows Desktop,Chrome
cfn8nbgq31,2014-07-01,-unknown-,18,basic,en,sem-brand,google,Web,iPad,Mobile Safari
p125kmlrpx,2014-07-01,-unknown-,105,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
ebjjn7ymo2,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,iPad,Mobile Safari
k450ie7kh5,2014-07-01,-unknown-,37,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
jkzzrx4es4,2014-07-01,-unknown-,,basic,en,sem-brand,bing,Web,Windows Desktop,Firefox
pzcev9s7wq,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Chrome
kxbwigmy1j,2014-07-01,FEMALE,26,facebook,en,sem-brand,google,Web,Mac Desktop,Chrome
tas0hrgqw6,2014-07-01,FEMALE,23,basic,en,sem-brand,google,Web,Mac Desktop,Safari
9823gcnhj9,2014-07-01,FEMALE,53,facebook,en,sem-brand,google,Web,Windows Desktop,Chrome
w3hna93wcx,2014-07-01,FEMALE,29,facebook,en,sem-brand,google,Web,Mac Desktop,Safari
r8l8r6u0zy,2014-07-01,FEMALE,50,facebook,en,sem-brand,google,Web,Windows Desktop,Chrome
9a7uivj1c6,2014-07-01,FEMALE,50,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
hwnvlouwqo,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
d8dm8o7vq1,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Safari
hztoxq15b3,2014-07-01,MALE,31,basic,en,sem-brand,bing,Web,Windows Desktop,Chrome
hvwvtimk0t,2014-07-01,-unknown-,,basic,en,sem-brand,bing,Web,Windows Desktop,IE
vzl7qea3u9,2014-07-01,FEMALE,36,basic,en,sem-brand,google,Web,Mac Desktop,Chrome
d2emyyli89,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,Firefox
fc1eab8t0m,2014-07-01,MALE,29,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
z68ej6ojoz,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Chrome
6vvt94j8qk,2014-07-01,FEMALE,26,basic,en,sem-brand,google,Web,Mac Desktop,Firefox
aa3qmhicui,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
r7okf5hfx8,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Safari
zr9hv9keu7,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,iPad,Mobile Safari
79vwk4652q,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Safari
54fjdml43v,2014-07-01,-unknown-,51,basic,en,sem-brand,google,Web,iPhone,Mobile Safari
m8vtrbestb,2014-07-01,FEMALE,27,facebook,zh,sem-brand,google,Web,Windows Desktop,Chrome
e89t0g25iz,2014-07-01,MALE,34,facebook,zh,sem-brand,google,Web,Mac Desktop,Safari
ooowpz79w5,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,Firefox
3tywpfx1c4,2014-07-01,FEMALE,80,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
xs4hjs4snh,2014-07-01,-unknown-,,basic,en,sem-brand,bing,iOS,iPhone,Mobile Safari
e04ctfjeyo,2014-07-01,FEMALE,28,facebook,en,sem-brand,google,Web,Windows Desktop,Firefox
8dclm10wvc,2014-07-01,MALE,28,basic,en,sem-brand,google,Web,Desktop (Other),Chrome
bm7qtpwpbb,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
s3zlddsw6d,2014-07-01,MALE,31,basic,en,sem-brand,google,Web,Mac Desktop,Firefox
0pj95wepy9,2014-07-01,FEMALE,45,basic,en,sem-brand,google,Web,Windows Desktop,Firefox
41yhlvwjxm,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Safari
wwiqv3w8xk,2014-07-01,MALE,55,facebook,en,sem-brand,bing,iOS,iPhone,-unknown-
96iwc0vwzg,2014-07-01,-unknown-,,basic,en,sem-brand,bing,Web,Android Tablet,IE
dganr1dnkm,2014-07-01,FEMALE,46,basic,en,sem-brand,google,Web,Mac Desktop,Chrome
wwp98pmbrs,2014-07-01,FEMALE,25,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
69bfvjpvry,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,IE
cdu5wnaqjf,2014-07-01,MALE,40,basic,en,sem-brand,google,Web,iPhone,Mobile Safari
w2237vcnm7,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
wsnfcehv1z,2014-07-01,-unknown-,29,basic,en,sem-brand,google,Web,Windows Desktop,IE
qq204n0gaz,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Safari
tturhok68n,2014-07-01,MALE,23,basic,en,sem-brand,google,Web,Mac Desktop,Safari
45ecu5bz78,2014-07-01,FEMALE,57,facebook,en,sem-brand,google,Web,Windows Desktop,IE
1egrqet1kr,2014-07-01,FEMALE,46,facebook,en,sem-brand,google,Web,Windows Desktop,Firefox
1u9rvgdoil,2014-07-01,-unknown-,,basic,es,sem-brand,google,Web,Mac Desktop,Firefox
e263vmujh1,2014-07-01,MALE,31,basic,en,sem-brand,google,Web,iPad,Mobile Safari
bg0923hjks,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,Firefox
9ggz13b8t6,2014-07-01,-unknown-,38,basic,en,sem-brand,google,Web,Windows Desktop,Firefox
cm7svip2m7,2014-07-01,MALE,,facebook,en,sem-brand,google,Web,Other/Unknown,-unknown-
s781ycpax3,2014-07-01,FEMALE,42,facebook,en,sem-brand,google,Web,Other/Unknown,-unknown-
n6ol4as9g0,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,Android Phone,Chrome Mobile
8sgw9du22v,2014-07-01,FEMALE,24,basic,en,sem-brand,google,Web,Mac Desktop,Safari
o0e86z6ufg,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
jx0hquulib,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,IE
l3tgd9cyka,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
stk6ymubrh,2014-07-01,FEMALE,40,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
8rhe2prelp,2014-07-01,MALE,58,facebook,en,sem-brand,bing,Web,Windows Desktop,Chrome
vng1p5gj9g,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,IE
3hs4tkz1hl,2014-07-01,FEMALE,57,basic,en,sem-brand,google,Web,Mac Desktop,Safari
v4jk2qlgdk,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,IE
9x0l3f8nij,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,iPad,Mobile Safari
ja64yyt2bg,2014-07-01,FEMALE,,facebook,en,sem-brand,google,Web,Mac Desktop,Firefox
xxexu8a85l,2014-07-01,FEMALE,27,facebook,en,sem-brand,google,Web,iPad,Mobile Safari
d0sjsqph22,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Safari
rdylgbns6h,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,IE
lqhgro3a82,2014-07-01,-unknown-,,basic,en,sem-brand,bing,Web,Windows Desktop,IE
xdomibfq3a,2014-07-01,-unknown-,,basic,en,sem-brand,bing,Web,Windows Desktop,Chrome
109tivn9fy,2014-07-01,MALE,27,basic,en,sem-brand,google,Web,Mac Desktop,Chrome
9skmtbp0q9,2014-07-01,MALE,22,facebook,en,sem-brand,google,Web,Mac Desktop,Safari
hsopqs19qg,2014-07-02,-unknown-,39,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
7pzi2j4g2s,2014-07-02,MALE,30,facebook,en,sem-brand,google,Web,Mac Desktop,Chrome
6rgcg332qq,2014-07-02,FEMALE,68,basic,en,sem-brand,google,Web,Mac Desktop,Safari
1uwab77nfe,2014-07-02,MALE,36,basic,en,sem-brand,google,Web,iPhone,-unknown-
l2k0b2fh8c,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,Firefox
8mtxy4udlq,2014-07-02,MALE,27,facebook,en,sem-brand,google,Web,Windows Desktop,Chrome
hf167q3imy,2014-07-02,FEMALE,42,basic,es,sem-brand,google,Web,Mac Desktop,Firefox
2qhb7dqkjt,2014-07-02,FEMALE,28,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
e4x52ss1gf,2014-07-02,FEMALE,26,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
yrpu0wess8,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Firefox
sdbzop8o7p,2014-07-02,FEMALE,53,basic,en,sem-brand,bing,Web,iPhone,Mobile Safari
46yhg74ryj,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
4rxtdsukzq,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Chrome
9otki0wcof,2014-07-02,FEMALE,27,basic,en,sem-brand,google,Web,Mac Desktop,Chrome
yq018t6cer,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Safari
9ofcyy5j5u,2014-07-02,MALE,19,basic,en,sem-brand,bing,Web,Windows Desktop,IE
it4v4kv55k,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Safari
gye2kyj16r,2014-07-02,MALE,29,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
n4gpxfdkis,2014-07-02,FEMALE,23,facebook,en,sem-brand,google,Web,Windows Desktop,Chrome
8ta0502rv3,2014-07-02,FEMALE,29,facebook,en,sem-brand,google,Web,iPhone,Mobile Safari
t26mf04qdm,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Firefox
bps9si3k5i,2014-07-02,-unknown-,21,basic,en,sem-brand,google,Web,Mac Desktop,Chrome
4p3sj77l09,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Safari
c5265lm4jd,2014-07-02,MALE,25,basic,en,sem-brand,google,Web,Mac Desktop,Chrome
24bfosduzc,2014-07-02,MALE,61,basic,de,sem-brand,google,Web,Mac Desktop,Safari
g4zmju2uq5,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Safari
oyolg2iilr,2014-07-02,FEMALE,25,basic,en,sem-brand,google,Web,iPhone,Mobile Safari
g2ynjpa2ux,2014-07-02,MALE,35,facebook,en,sem-brand,google,Web,Windows Desktop,Chrome
038sonvxoa,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,Firefox
3wlvpf8tah,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Chrome
uzlmw5hdan,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Safari
wq5ziqw2sv,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Chrome
k6fk5f1nh1,2014-07-02,FEMALE,27,facebook,en,sem-brand,bing,Web,Windows Desktop,Chrome
5gy3nqrmbx,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Chrome
qr2afxry15,2014-07-02,MALE,47,basic,en,sem-brand,google,Web,Mac Desktop,Chrome
zqv6srmvbx,2014-07-02,-unknown-,,basic,en,sem-brand,bing,Web,Mac Desktop,Safari
67eo30jrlz,2014-07-02,FEMALE,24,facebook,en,sem-brand,google,Web,Mac Desktop,Chrome
sw9jrzzo1t,2014-07-02,FEMALE,53,facebook,en,sem-brand,google,Web,Mac Desktop,Safari
uyr5zrwmro,2014-07-02,FEMALE,50,facebook,en,sem-brand,google,Web,Mac Desktop,Safari
b8g4ztdj15,2014-07-02,MALE,35,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
e0r03mn2t9,2014-07-02,FEMALE,44,basic,en,sem-brand,google,Web,Mac Desktop,Safari
vzruas9jae,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,Firefox
baz23v81a6,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
kg324kcuel,2014-07-02,MALE,24,facebook,en,sem-brand,google,Web,Mac Desktop,Chrome
0tinm8pry0,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
l7kticof5g,2014-07-02,MALE,33,basic,en,sem-brand,google,Web,Mac Desktop,Safari
dp2bps9xpr,2014-07-02,FEMALE,39,facebook,en,sem-brand,google,Web,Mac Desktop,Chrome
m0fda4v32u,2014-07-02,MALE,52,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
fasp2h51ka,2014-07-02,MALE,23,facebook,en,sem-brand,google,Web,Windows Desktop,Firefox
xlxpywaq20,2014-07-02,FEMALE,22,facebook,zh,sem-brand,google,Web,Mac Desktop,Chrome
dmirl2mz18,2014-07-02,FEMALE,32,facebook,en,sem-brand,bing,Web,iPhone,Mobile Safari
rjovt0nc7x,2014-07-02,-unknown-,49,basic,en,sem-brand,google,Web,Windows Desktop,Firefox
vahcmbuyne,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,Firefox
gno1x32hcy,2014-07-02,MALE,49,facebook,zh,sem-brand,google,Web,Windows Desktop,IE
qumlkmv1j5,2014-07-02,MALE,23,basic,en,sem-brand,google,Web,Mac Desktop,Safari
6n7lm0ievz,2014-07-02,-unknown-,44,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
wbl19soxy9,2014-07-02,-unknown-,,basic,en,sem-brand,bing,Web,Windows Desktop,Firefox
fjumigcfyk,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
a2vbuo28rt,2014-07-02,FEMALE,26,basic,en,sem-brand,google,Web,Mac Desktop,Safari
1i8pisi9ys,2014-07-02,MALE,50,basic,en,sem-brand,google,Web,Mac Desktop,Chrome
paz9m9wk4j,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Safari
gjfuq5y5di,2014-07-02,MALE,33,facebook,en,sem-brand,google,Web,Windows Desktop,IE
yvwlsxbfp1,2014-07-02,-unknown-,,basic,en,sem-brand,bing,Moweb,iPhone,Mobile Safari
kv2ydrkskg,2014-07-02,FEMALE,40,basic,en,sem-brand,google,Web,Windows Desktop,Firefox
tktivf0b51,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,IE
5pb5e2zlfk,2014-07-02,-unknown-,27,basic,en,sem-brand,google,Web,Windows Desktop,Firefox
2cg8w1m4z6,2014-07-02,-unknown-,27,basic,zh,sem-brand,baidu,Web,Windows Desktop,Chrome
hlaa8ixwyt,2014-07-02,FEMALE,63,basic,en,sem-brand,google,Web,iPhone,Mobile Safari
rtsgry8lk2,2014-07-02,-unknown-,,basic,en,sem-brand,bing,Web,Windows Desktop,IE
23c8yaskuv,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Safari
liu6p4s60i,2014-07-02,-unknown-,36,basic,en,sem-brand,google,Web,Mac Desktop,Chrome
e17zcvbne9,2014-07-02,-unknown-,,basic,en,sem-brand,bing,Web,iPhone,Mobile Safari
70sj9c4a6l,2014-07-02,FEMALE,36,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
8xswcl9zle,2014-07-02,MALE,29,basic,en,sem-brand,google,Web,Mac Desktop,Chrome
eym9cf0pps,2014-07-02,FEMALE,33,facebook,en,sem-brand,google,Web,Mac Desktop,Firefox
95383lm7k2,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Safari
64ijar31mr,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
glvkfm2i1n,2014-07-02,FEMALE,32,basic,en,sem-brand,google,Web,Mac Desktop,Firefox
1e8x8xiggu,2014-07-02,MALE,34,facebook,en,sem-brand,google,Web,Windows Desktop,Chrome
dd9m8yqjeq,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,Firefox
urxh9pscd4,2014-07-02,-unknown-,,basic,en,sem-brand,bing,iOS,iPhone,Mobile Safari
9z5omke4fo,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,Firefox
iiltbzheqb,2014-07-02,FEMALE,23,facebook,en,sem-brand,google,Web,Mac Desktop,Firefox
exrh5rd6jq,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Firefox
iz1smyoxzq,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,IE
i4xuod2ll4,2014-07-02,-unknown-,33,basic,en,sem-brand,google,Web,Mac Desktop,Chrome
hgpkfz0vv6,2014-07-02,FEMALE,45,facebook,en,sem-brand,google,Web,Mac Desktop,Firefox
ogajt0geze,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,Firefox
csjzfncvmp,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Firefox
4gbgd8moyn,2014-07-02,FEMALE,42,basic,en,sem-brand,google,Web,Mac Desktop,Safari
4qflz6lnua,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,iPhone,Mobile Safari
fp6vbhhp9u,2014-07-02,MALE,24,facebook,en,sem-brand,google,Web,Mac Desktop,Chrome
5lptrkbxhe,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Chrome
5oqsqbhe6z,2014-07-02,-unknown-,,basic,en,sem-brand,bing,iOS,iPhone,Mobile Safari
q8oof1h1ee,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Chrome
buqh41e68c,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Chrome
rtn3hczarv,2014-07-02,MALE,30,facebook,en,sem-brand,bing,iOS,iPhone,Mobile Safari
7ngn65jn6t,2014-07-02,FEMALE,24,basic,en,sem-brand,google,Web,Mac Desktop,Firefox
7ax4kouba1,2014-07-02,FEMALE,55,basic,no,sem-brand,google,Web,Windows Desktop,Firefox
17euq7khl7,2014-07-02,FEMALE,26,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
2wswkz1eb4,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
k7v3u3i78x,2014-07-02,FEMALE,46,basic,en,sem-brand,bing,Moweb,iPhone,Mobile Safari
o24og1d9dt,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
nq7y8cpchn,2014-07-02,FEMALE,60,basic,en,sem-brand,google,Web,Mac Desktop,Safari
gpub3dsahr,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Chrome
t70km58d0s,2014-07-02,MALE,32,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
8p66r6cn52,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
0uqauzthzu,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,iPad,Chrome Mobile
hwjl3tgn8m,2014-07-02,FEMALE,25,basic,en,sem-brand,google,Web,Mac Desktop,Safari
7fhg6e9bg6,2014-07-02,MALE,58,facebook,en,sem-brand,google,Web,Mac Desktop,Safari
lw0yoa9o05,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Firefox
rm3upvnphl,2014-07-02,-unknown-,24,basic,en,sem-brand,google,Web,Mac Desktop,Chrome
4sdfv8t7m8,2014-07-02,FEMALE,20,basic,en,sem-brand,bing,iOS,iPhone,Mobile Safari
tz8j4zuk96,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
50lwo11lvp,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
v7n94gnibq,2014-07-02,MALE,47,basic,en,sem-brand,google,Web,Mac Desktop,Safari
ldc9gy92jz,2014-07-02,FEMALE,28,facebook,en,sem-brand,google,Web,Mac Desktop,Safari
3ssr78ib8e,2014-07-02,FEMALE,36,basic,en,sem-brand,google,Web,iPad,Mobile Safari
82gsiwhsrg,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
0841jupk8m,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,IE
fsbiyx6gy7,2014-07-02,FEMALE,33,facebook,en,sem-brand,google,Web,Mac Desktop,Chrome
ljwff9pahh,2014-07-02,FEMALE,35,facebook,en,sem-brand,google,Web,Windows Desktop,Chrome
jf4dygqmxm,2014-07-02,FEMALE,36,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
l7gczrgp6c,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,iPad,Mobile Safari
ag206ux6pl,2014-07-02,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Firefox
u0737afz5o,2014-07-02,FEMALE,26,facebook,en,sem-brand,google,Web,Windows Desktop,IE
pddlvrzqmr,2014-07-03,MALE,67,facebook,en,sem-brand,google,Web,Windows Desktop,Firefox
sm24c5nzzr,2014-07-03,MALE,31,basic,en,sem-brand,google,Web,iPhone,Mobile Safari
prfw64iuoy,2014-07-03,MALE,40,basic,en,sem-brand,google,Web,Windows Desktop,IE
b0988zngyn,2014-07-03,FEMALE,28,facebook,en,sem-brand,google,Web,Windows Desktop,Chrome
d4fs5sd973,2014-07-03,FEMALE,21,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
d0gfc59vbv,2014-07-03,FEMALE,30,basic,en,sem-brand,google,Web,Mac Desktop,Firefox
myneek2ghd,2014-07-03,-unknown-,,basic,zh,sem-brand,google,Web,Windows Desktop,Chrome
getm6wzzae,2014-07-03,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Safari
reot9op1dt,2014-07-03,MALE,65,basic,en,sem-brand,google,Web,Mac Desktop,Firefox
4v4wej0wkw,2014-07-03,-unknown-,,basic,en,sem-brand,google,Web,iPad,Mobile Safari
